date,university,value
2026-07-29,Hacettepe Üniversitesi,2792
2026-07-29,Ankara Üniversitesi,2515
2026-07-29,İstanbul Teknik Üniversitesi,1980
2026-07-29,Istanbul Üniversitesi,1905
2026-07-29,Orta Doğu Teknik Üniversitesi (ODTÜ),1044
2026-07-29,Gazi Üniversitesi,1893
2026-07-29,Sağlık Bilimleri Üniversitesi,4479
2026-07-29,Ege Üniversitesi,1537
2026-07-29,Atatürk Üniversitesi,1808
2026-07-29,Dokuz Eylül Üniversitesi,1431
2026-07-29,Marmara Üniversitesi,1495
2026-07-29,Yıldız Teknik Üniversitesi,1599
2026-07-29,Selçuk Üniversitesi,1309
2026-07-29,Erciyes Üniversitesi,1235
2026-07-29,Boğaziçi Üniversitesi,559
2026-07-29,Çukurova Üniversitesi,1117
2026-07-29,Ondokuz Mayıs Üniversitesi,1180
2026-07-29,Karadeniz Teknik Üniversitesi,1266
2026-07-29,Bursa Uludağ Üniversitesi,1177
2026-07-29,Akdeniz Üniversitesi,1210
2026-07-29,Fırat Üniversitesi,1185
2026-07-29,İstanbul Üniversitesi-Cerrahpaşa,1713
2026-07-29,Koç Üniversitesi,1295
2026-07-29,Bilkent Üniversitesi,518
2026-07-29,Kocaeli Üniversitesi,1196
2026-07-30,Hacettepe Üniversitesi,2796
2026-07-30,Ankara Üniversitesi,2522
2026-07-30,İstanbul Teknik Üniversitesi,1987
2026-07-30,Istanbul Üniversitesi,1907
2026-07-30,Orta Doğu Teknik Üniversitesi (ODTÜ),1044
2026-07-30,Gazi Üniversitesi,1898
2026-07-30,Sağlık Bilimleri Üniversitesi,4480
2026-07-30,Ege Üniversitesi,1540
2026-07-30,Atatürk Üniversitesi,1808
2026-07-30,Dokuz Eylül Üniversitesi,1433
2026-07-30,Marmara Üniversitesi,1498
2026-07-30,Yıldız Teknik Üniversitesi,1603
2026-07-30,Selçuk Üniversitesi,1312
2026-07-30,Erciyes Üniversitesi,1235
2026-07-30,Boğaziçi Üniversitesi,561
2026-07-30,Çukurova Üniversitesi,1117
2026-07-30,Ondokuz Mayıs Üniversitesi,1183
2026-07-30,Karadeniz Teknik Üniversitesi,1272
2026-07-30,Bursa Uludağ Üniversitesi,1177
2026-07-30,Akdeniz Üniversitesi,1212
2026-07-30,Fırat Üniversitesi,1187
2026-07-30,İstanbul Üniversitesi-Cerrahpaşa,1714
2026-07-30,Koç Üniversitesi,1298
2026-07-30,Bilkent Üniversitesi,519
2026-07-30,Kocaeli Üniversitesi,1198
2026-07-31,Hacettepe Üniversitesi,2796
2026-07-31,Ankara Üniversitesi,2522
2026-07-31,İstanbul Teknik Üniversitesi,1987
2026-07-31,Istanbul Üniversitesi,1907
2026-07-31,Orta Doğu Teknik Üniversitesi (ODTÜ),1044
2026-07-31,Gazi Üniversitesi,1898
2026-07-31,Sağlık Bilimleri Üniversitesi,4480
2026-07-31,Ege Üniversitesi,1540
2026-07-31,Atatürk Üniversitesi,1808
2026-07-31,Dokuz Eylül Üniversitesi,1433
2026-07-31,Marmara Üniversitesi,1498
2026-07-31,Yıldız Teknik Üniversitesi,1603
2026-07-31,Selçuk Üniversitesi,1312
2026-07-31,Erciyes Üniversitesi,1235
2026-07-31,Boğaziçi Üniversitesi,561
2026-07-31,Çukurova Üniversitesi,1117
2026-07-31,Ondokuz Mayıs Üniversitesi,1183
2026-07-31,Karadeniz Teknik Üniversitesi,1272
2026-07-31,Bursa Uludağ Üniversitesi,1177
2026-07-31,Akdeniz Üniversitesi,1212
2026-07-31,Fırat Üniversitesi,1187
2026-07-31,İstanbul Üniversitesi-Cerrahpaşa,1714
2026-07-31,Koç Üniversitesi,1298
2026-07-31,Bilkent Üniversitesi,519
2026-07-31,Kocaeli Üniversitesi,1198
