timestamp,university,value
2026-07-14 16:02:54,Adnan Menderes University,147
2026-07-14 16:02:54,Ahi Evran University,136
2026-07-14 16:02:54,Akdeniz University,131
2026-07-14 16:02:54,Anadolu University,133
2026-07-14 16:02:54,Ankara University,149
2026-07-14 16:02:54,Istanbul Arel University,339
2026-07-14 16:02:54,Atatürk University,333
2026-07-14 16:02:54,University of Kyrenia,149
2026-07-14 16:02:54,Atilim University,365
2026-07-14 16:02:54,Bahcesehir University,146
2026-07-14 16:02:54,Balikesir University,256
2026-07-14 16:02:54,Baskent University,364
2026-07-14 16:02:54,Celal Bayar University,396
2026-07-14 16:02:54,Beykent University,358
2026-07-14 16:02:54,Bilecik University,137
2026-07-14 16:02:54,Istanbul Bilgi University,345
2026-07-14 16:02:54,Bilkent University,186
2026-07-14 16:02:54,Boğaziçi University,343
2026-07-14 16:02:54,Cag University,92
2026-07-14 16:02:54,Cankaya University,216
2026-07-14 16:03:24,Adnan Menderes University,151
2026-07-14 16:03:24,Ahi Evran University,140
2026-07-14 16:03:24,Akdeniz University,136
2026-07-14 16:03:24,Anadolu University,133
2026-07-14 16:03:24,Ankara University,154
2026-07-14 16:03:24,Istanbul Arel University,344
2026-07-14 16:03:24,Atatürk University,337
2026-07-14 16:03:24,University of Kyrenia,151
2026-07-14 16:03:24,Atilim University,370
2026-07-14 16:03:24,Bahcesehir University,150
2026-07-14 16:03:24,Balikesir University,256
2026-07-14 16:03:24,Baskent University,366
2026-07-14 16:03:24,Celal Bayar University,397
2026-07-14 16:03:24,Beykent University,360
2026-07-14 16:03:24,Bilecik University,138
2026-07-14 16:03:24,Istanbul Bilgi University,346
2026-07-14 16:03:24,Bilkent University,188
2026-07-14 16:03:24,Boğaziçi University,344
2026-07-14 16:03:24,Cag University,94
2026-07-14 16:03:24,Cankaya University,216
2026-07-14 16:03:37,Adnan Menderes University,154
2026-07-14 16:03:37,Ahi Evran University,143
2026-07-14 16:03:37,Akdeniz University,141
2026-07-14 16:03:37,Anadolu University,134
2026-07-14 16:03:37,Ankara University,159
2026-07-14 16:03:37,Istanbul Arel University,347
2026-07-14 16:03:37,Atatürk University,337
2026-07-14 16:03:37,University of Kyrenia,154
2026-07-14 16:03:37,Atilim University,375
2026-07-14 16:03:37,Bahcesehir University,154
2026-07-14 16:03:37,Balikesir University,260
2026-07-14 16:03:37,Baskent University,367
